iter	Passed	Remaining
0	1	184
1	3	167
2	4	157
3	6	145
4	7	144
5	9	141
6	10	139
7	11	137
8	13	136
9	14	134
10	16	132
11	17	131
12	19	129
13	20	127
14	22	126
15	23	124
16	25	123
17	26	121
18	28	120
19	29	119
20	31	117
21	32	116
22	34	114
23	35	112
24	37	111
25	38	110
26	40	108
27	41	107
28	43	105
29	44	104
30	46	102
31	47	101
32	49	99
33	50	98
34	52	96
35	53	95
36	55	93
37	57	93
38	58	91
39	60	90
40	61	88
41	62	85
42	63	84
43	65	82
44	66	81
45	68	79
46	69	78
47	71	77
48	72	75
49	74	74
50	75	72
51	77	71
52	78	69
53	80	68
54	81	66
55	82	64
56	84	63
57	86	62
58	87	60
59	89	59
60	90	58
61	92	56
62	93	55
63	95	53
64	96	52
65	98	50
66	99	49
67	101	47
68	102	46
69	104	44
70	105	43
71	107	41
72	108	40
73	110	38
74	112	37
75	113	35
76	115	34
77	116	32
78	118	31
79	119	29
80	121	28
81	122	26
82	124	25
83	125	23
84	127	22
85	129	21
86	131	19
87	132	18
88	134	16
89	135	15
90	137	13
91	138	12
92	140	10
93	141	9
94	143	7
95	144	6
96	145	4
97	147	3
98	149	1
99	150	0
