iter	Passed	Remaining
0	169	169607
1	171	85639
2	173	57537
3	174	43479
4	176	35045
5	177	29420
6	179	25526
7	182	22588
8	183	20226
9	185	18347
10	187	16838
11	189	15590
12	191	14535
13	195	13775
14	198	13047
15	201	12363
16	203	11741
17	205	11222
18	207	10730
19	210	10314
20	212	9904
21	214	9522
22	215	9162
23	217	8832
24	218	8529
25	220	8247
26	221	7985
27	223	7751
28	226	7575
29	227	7368
30	229	7170
31	230	6983
32	232	6808
33	233	6643
34	235	6488
35	236	6341
36	238	6211
37	241	6113
38	243	5992
39	244	5872
40	246	5757
41	247	5647
42	249	5543
43	250	5444
44	252	5349
45	254	5275
46	256	5205
47	258	5124
48	259	5042
49	261	4965
50	262	4890
51	264	4819
52	265	4749
53	267	4683
54	269	4635
55	272	4587
56	273	4527
57	275	4468
58	276	4415
59	278	4360
60	279	4306
61	281	4254
62	282	4206
63	285	4170
64	287	4140
65	289	4099
66	291	4059
67	293	4020
68	294	3978
69	296	3937
70	297	3898
71	300	3871
72	302	3841
73	304	3808
74	305	3773
75	307	3738
76	308	3702
77	310	3668
78	311	3635
79	314	3611
80	316	3590
81	318	3560
82	318	3522
83	320	3493
84	321	3464
85	323	3435
86	324	3408
87	326	3381
88	328	3360
89	330	3344
90	332	3319
91	333	3294
92	335	3270
93	336	3245
94	338	3221
95	339	3198
96	342	3185
97	346	3186
98	347	3164
99	349	3142
100	350	3120
101	352	3100
102	353	3079
103	355	3059
104	357	3043
105	359	3032
106	361	3015
107	362	2996
108	364	2978
109	365	2961
110	367	2943
111	369	2926
112	370	2908
113	372	2894
114	374	2883
115	376	2872
116	378	2856
117	380	2842
118	381	2827
119	384	2822
120	387	2815
121	390	2810
122	392	2800
123	394	2789
124	396	2777
125	399	2767
126	400	2755
127	405	2761
128	407	2749
129	408	2734
130	410	2720
131	411	2706
132	412	2692
133	414	2678
134	415	2665
135	418	2657
136	420	2648
137	422	2636
138	423	2623
139	425	2611
140	426	2598
141	427	2583
142	429	2571
143	430	2559
144	432	2552
145	435	2546
146	436	2535
147	438	2523
148	440	2514
149	442	2505
150	443	2496
151	445	2487
152	450	2492
153	452	2484
154	454	2480
155	457	2473
156	459	2464
157	460	2455
158	463	2454
159	466	2448
160	467	2437
161	469	2430
162	471	2423
163	473	2415
164	477	2417
165	480	2414
166	482	2407
167	484	2398
168	486	2390
169	488	2386
170	493	2393
171	496	2387
172	499	2388
173	501	2380
174	503	2372
175	505	2364
176	514	2394
177	516	2386
178	518	2378
179	520	2370
180	526	2384
181	533	2395
182	534	2388
183	536	2380
184	544	2399
185	547	2396
186	550	2391
187	559	2415
188	561	2408
189	563	2400
190	564	2392
191	566	2384
192	569	2379
193	572	2377
194	577	2382
195	579	2376
196	581	2368
197	583	2363
198	586	2360
199	589	2356
200	591	2350
201	593	2343
202	594	2335
203	601	2347
204	605	2346
205	607	2341
206	609	2333
207	610	2326
208	614	2325
209	616	2318
210	618	2313
211	620	2307
212	622	2300
213	624	2293
214	625	2285
215	629	2283
216	631	2277
217	633	2270
218	634	2263
219	636	2255
220	637	2247
221	639	2239
222	640	2232
223	643	2227
224	645	2221
225	646	2214
226	648	2209
227	650	2203
228	652	2197
229	654	2190
230	655	2183
231	658	2179
232	660	2173
233	662	2167
234	664	2161
235	665	2155
236	667	2148
237	668	2141
238	670	2133
239	672	2128
240	674	2123
241	676	2117
242	677	2111
243	679	2106
244	681	2099
245	682	2093
246	684	2086
247	685	2079
248	688	2075
249	690	2070
250	692	2066
251	694	2062
252	696	2056
253	698	2050
254	699	2044
255	701	2038
256	703	2034
257	705	2028
258	707	2024
259	709	2019
260	711	2013
261	712	2007
262	714	2001
263	716	1996
264	718	1992
265	720	1988
266	722	1983
267	724	1978
268	725	1972
269	727	1966
270	728	1960
271	730	1956
272	732	1951
273	734	1946
274	736	1940
275	738	1936
276	740	1931
277	741	1926
278	743	1922
279	746	1918
280	748	1914
281	749	1909
282	751	1903
283	753	1898
284	754	1892
285	756	1888
286	758	1884
287	761	1881
288	765	1882
289	768	1880
290	771	1878
291	774	1878
292	781	1885
293	783	1882
294	786	1878
295	788	1874
296	789	1869
297	803	1892
298	805	1889
299	811	1893
300	813	1890
301	816	1886
302	817	1881
303	830	1901
304	832	1897
305	835	1894
306	842	1902
307	845	1899
308	847	1895
309	849	1890
310	858	1900
311	860	1898
312	863	1894
313	865	1889
314	866	1885
315	870	1883
316	877	1890
317	879	1887
318	881	1882
319	887	1886
320	891	1886
321	893	1881
322	895	1876
323	897	1871
324	901	1872
325	903	1868
326	905	1864
327	907	1859
328	909	1854
329	910	1848
330	911	1843
331	914	1840
332	916	1835
333	917	1830
334	920	1827
335	922	1823
336	924	1819
337	926	1813
